speaker	countInScene	sceneNum	sceneMarker
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Kate	1	1	scene
Mrs. Read	1	1	scene
Arthur	1	2	scene
D.W.	1	2	scene
Arthur	1	2	scene
Mr. Read	1	2	scene
Arthur	1	2	scene
D.W.	1	2	scene
Arthur	1	2	scene
Arthur	1	2	scene
Mrs. Read	1	2	scene
Arthur	1	2	scene
Mr. Read	1	2	scene
D.W.	1	2	scene
D.W.	1	2	scene
Arthur	1	2	scene
Arthur	1	2	scene
Arthur	1	2	scene
Francine	1	2	scene
Umpire	1	2	scene
Francine	1	2	scene
Muffy	1	3	scene
Arthur	1	3	scene
Mrs. Baxter	1	3	scene
Arthur	1	3	scene
Arthur	1	3	scene
Mrs. Read	1	3	scene
Arthur	1	3	scene
D.W.	1	3	scene
Arthur	1	3	scene
D.W.	1	3	scene
Arthur	1	3	scene
D.W.	1	3	scene
Arthur	1	3	scene
D.W.	1	3	scene
D.W.	1	3	scene
Arthur	1	3	scene
Francine	1	3	scene
Buster	1	4	scene
Brain	1	4	scene
Arthur	1	4	scene
Buster	1	4	scene
Buster	1	4	scene
Arthur	1	4	scene
Prunella	1	4	scene
Arthur	1	4	scene
Prunella	1	4	scene
Arthur	1	4	scene
Buster	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Buster	1	4	scene
Arthur	1	4	scene
Mr. Read	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Mrs. Read	1	4	scene
Arthur	1	4	scene
Arthur	1	4	scene
Mr. Read	1	4	scene
Arthur	1	4	scene
Vision of Arthur	1	4	scene
Vision of Buster	1	4	scene
D.W.	1	5	scene
Arthur	1	5	scene
Arthur	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
D.W.	1	5	scene
Buster	1	5	scene
D.W.	1	5	scene
Arthur	1	5	scene
D.W.	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
D.W.	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
D.W.	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Buster	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
D.W.	1	5	scene
Buster	1	5	scene
D.W.	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
D.W.	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
Buster	1	5	scene
Arthur	1	5	scene
